Title,Title_URL,Like,Title_URL1,Title2,bcl1activitycellb,bcl1activitycellc,bcl1activitycellc3,jvisibleproject,bcl1activityrow_URL,bcl1activityrow,bcl1activityrow4,jloadsinpagemodal_URL,jloadsinpagemodal_URL5,Title1,Text,Pub_Time,Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14
Hi-Tech Robotic Systemz Pvt. Ltd.,https://www.gbig.org/buildings/860105,"Pace City I, सेक्टर 10A, Gurgaon, Haryana, India",https://www.gbig.org/activities/leed-india-nc121489,Hi-Tech Robotic Systemz Ltd,"Registered
LEED India  NC","Registered

LEED India  NC",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860105%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860105%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Hi-Tech Robotic Systemz Pvt. Ltd.,Building,Hi-Tech Robotic Systemz Pvt. Ltd.,Hi-Tech Robotic Systemz Ltd,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"28,791 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Dell Perot Systems,https://www.gbig.org/buildings/860115,"Road Number 2, Phase 2, EPIP Zone, Brookefield, Bengaluru, Karnataka, India",https://www.gbig.org/activities/leed-india-nc121499,DELL 8,"Registered
LEED India  NC","Registered

LEED India  NC",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860115%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860115%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Dell Perot Systems,Building,Dell Perot Systems,DELL 8,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"293,184 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
India Tower,https://www.gbig.org/buildings/860127,"Thakurdwar, Kalbadevi, Mumbai, Maharashtra",https://www.gbig.org/activities/leed-india-nc121513,Hyatt House,"Registered
LEED India  NC","Registered

LEED India  NC",REGISTERED,REGISTERED,https://www.gbig.org/activities/leed-india-cs091119,India Tower,"Registered

LEED India  CS",https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860127%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860127%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 2 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 2 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









2



Green Projects


See all »








Registered (2)




Awards & Certifications",,India Tower,Building,India Tower,Hyatt House,Favorite,+ Follow,+ Add to a Collection,+ Add Me,2.041 Million square feet,,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Everest Time Industry,https://www.gbig.org/buildings/860132,"8, 50 Feet Road, Mehul Nagar, Jangleshwar, Rajkot, Gujarat, India",https://www.gbig.org/activities/leed-india-nc131519,India-ITME,"Registered
LEED India  NC","Registered

LEED India  NC",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860132%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860132%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Everest Time Industry,Building,Everest Time Industry,India-ITME,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"676,261 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Salarpuria Sattva,https://www.gbig.org/buildings/860185,"Hitech City Road, Jubilee Enclave, Hitech City, Hyderabad, Telangana, India",https://www.gbig.org/activities/leed-india-nc131573,Salarpuria Sattva,"Registered
LEED India  NC","Registered

LEED India  NC",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860185%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860185%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Salarpuria Sattva,Building,Salarpuria Sattva,,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"849,922 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
J.N.P.T. Administrative Building,https://www.gbig.org/buildings/860201,"JNPT Road, Sheva, Navi Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-nc131590,Administrative Building,"Registered
LEED India  NC","Registered

LEED India  NC",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860201%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860201%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,J.N.P.T. Administrative Building,Building,J.N.P.T. Administrative Building,Administrative Building,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"8,115 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Jupiter,https://www.gbig.org/buildings/860214,"Jogeshwari Vikhroli Link Road, Ramabai Ambedkar Nagar, Vikhroli West, Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs071004,Jupiter 841,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860214%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860214%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Jupiter,Building,Jupiter,Jupiter 841,Favorite,+ Follow,+ Add to a Collection,+ Add Me,2.658 Million square feet,,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Capgemini Airoli,https://www.gbig.org/buildings/860221,"Mindspace, Thane-Belapur Road, MIDC INDL Area, Airoli, Navi Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs071011,"Mindspace Airoli, Building No. 3","Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,https://www.gbig.org/activities/leed-india-cs071012,"Mindspace Airoli, Building No. 2","Registered

LEED India  CS",https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860221%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860221%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 2 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 2 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









2



Green Projects


See all »








Registered (2)




Awards & Certifications",,Capgemini Airoli,Building,Capgemini Airoli,"Mindspace Airoli, Building No. 3, Mindspace Airoli, Building No. 2",Favorite,+ Follow,+ Add to a Collection,+ Add Me,"370,000 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
JSW HQ,https://www.gbig.org/buildings/860233,"Windsor Lane, MMRDA Area, Bandra Kurla Complex, Santacruz East, Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs081032,JSW - HQ,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860233%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860233%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,JSW HQ,Building,JSW HQ,JSW - HQ,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"517,000 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Godrej IT PARK,https://www.gbig.org/buildings/860234,"Lal Bahadur Shastri Road, Godrej & Boyce Industry Estate, Vikhroli West, Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs081033,Godrej & Boyce IT Park,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860234%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860234%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Godrej IT PARK,Building,Godrej IT PARK,Godrej & Boyce IT Park,Favorite,+ Follow,+ Add to a Collection,+ Add Me,1 Million square feet,,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
iGate Gigaplex,https://www.gbig.org/buildings/860235,"5, MSEB Staff Colony, TTC Industrial Area, Airoli, Navi Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs081035,Gigaplex - Airoli,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,https://www.gbig.org/activities/leed-india-cs121410,Gigaplex Bldg No 05,"Registered

LEED India  CS",https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860235%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860235%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 2 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 2 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









2



Green Projects


See all »








Registered (2)




Awards & Certifications",,iGate Gigaplex,Building,iGate Gigaplex,"Gigaplex - Airoli, Gigaplex Bldg No 05",Favorite,+ Follow,+ Add to a Collection,+ Add Me,"326,525 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Solaris II,https://www.gbig.org/buildings/860242,"Solaris Complex Road, Raje Sambhaji Nagar, Manohar Nagar, Marol, Andheri East, Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs081042,Raheja Solaris,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860242%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860242%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Solaris II,Building,Solaris II,Raheja Solaris,Favorite,+ Follow,+ Add to a Collection,+ Add Me,1 Million square feet,,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Platinum Paradise,https://www.gbig.org/buildings/860243,"Gaikwad Nagar, Malvani, Malad West, Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs081043,Raheja Platinum,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860243%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D4%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860243%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Platinum Paradise,Building,Platinum Paradise,Raheja Platinum,Favorite,+ Follow,+ Add to a Collection,+ Add Me,1.3 Million square feet,,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Sreejan Tech Park,https://www.gbig.org/buildings/860246,"DN Block, Sector V, Salt Lake City, Kolkata, West Bengal, India",https://www.gbig.org/activities/leed-india-cs081046,P S Srijan Tech Park,awarded on 01/01/2010,"Gold

LEED India  CS",,GOLD,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D5%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860246%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D5%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860246%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Gold




Awards & Certifications",01/01/2010,Sreejan Tech Park,Building,Sreejan Tech Park,P S Srijan Tech Park,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"435,981 square feet",2010,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Dosti Pinnacle,https://www.gbig.org/buildings/860248,"Road Number 22, Wagle Industrial Estate, Thane West, Thane, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs081048,Dosti Pinnacle,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D5%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860248%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D5%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860248%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Dosti Pinnacle,Building,Dosti Pinnacle,,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"300,000 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
RMZ Galleria Residences,https://www.gbig.org/buildings/860250,"State Highway 9, Ambedkar Colony, Yelahanka, Bengaluru, Karnataka, India",https://www.gbig.org/activities/leed-india-cs081050,RMZ Galleria,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D5%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860250%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D5%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860250%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,RMZ Galleria Residences,Building,RMZ Galleria Residences,RMZ Galleria,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"446,735 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
1,https://www.gbig.org/buildings/860251,"Pune, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs081053,One K,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D5%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860251%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D5%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860251%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,1,Building,1,One K,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"180,000 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Parinee Crescenzo,https://www.gbig.org/buildings/860253,"Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs081055,Crescenzo,awarded on 01/01/2012,"Gold

LEED India  CS",,GOLD,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D5%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860253%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D5%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860253%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Gold




Awards & Certifications",01/01/2012,Parinee Crescenzo,Building,Parinee Crescenzo,Crescenzo,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"398,268 square feet",2012,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Godrej Waterside,https://www.gbig.org/buildings/860259,"DP Block, Sector V, Sector V, Kolkata, West Bengal, India",https://www.gbig.org/activities/leed-india-cs081061,Godrej Waterside,awarded on 01/01/2010,"Gold

LEED India  CS",,GOLD,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D5%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860259%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D5%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860259%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Gold




Awards & Certifications",01/01/2010,Godrej Waterside,Building,Godrej Waterside,,Favorite,+ Follow,+ Add to a Collection,+ Add Me,1.766 Million square feet,2010,People/Organizations who worked on this building,+ Add Me,,ACTIVITY,View other buildings nearby »
Shapath 3,https://www.gbig.org/buildings/860263,"Bodakdev, Ahmedabad, Gujarat, India",https://www.gbig.org/activities/leed-india-cs081065,Shapath 5,awarded on 01/01/2013,"Gold

LEED India  CS",REGISTERED,GOLD,https://www.gbig.org/activities/leed-india-cs111279,Shapath 7,"Registered

LEED India  CS",https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D5%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860263%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D5%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D860263%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 3 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 3 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









3



Green Projects


See all »








Registered (2)
Gold




Awards & Certifications",02/10/2016,Shapath 3,Building,Shapath 3,"Shapath 5, Shapath 7, HP Shapath V Ahmedabad",Favorite,+ Follow,+ Add to a Collection,+ Add Me,"535,684 square feet",2013,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
